"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"1","6hrPlev_extr_dr","1","omega (=dp/dt)","Pa s-1","plev_4","None","wap","lagrangian_tendency_of_air_pressure","None","Pa s-1","time: mean","","","","","","longitude latitude plev4 time","real","wap","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr_dr","1","Specific Humidity","1.0","plev_4","None","hus","specific_humidity","None","1.0","time: mean","","","","","","longitude latitude plev4 time","real","hus","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr","1","Eastward Near-Surface Wind","m s-1","Near surface eastward wind","None","uas","eastward_wind","None","m s-1","time: point","","","","","","longitude latitude time1","real","uas","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr","1","Northward Near-Surface Wind","m s-1","Near surace northward wind","None","vas","northward_wind","None","m s-1","time: point","","","","","","longitude latitude time1","real","vas","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr","1","vorticity_mean_850_700","s-1","Mean vorticity over 850,700,600 hPa","None","vortmean","vorticity_mean_850_700","None","s-1","time: point","","","","","","longitude latitude plev3 time1","real","vortmean","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Air Temperature","K","","None","ta","air_temperature","None","K","time: point","","","","","","longitude latitude plev27 time1","real","ta","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Pressure on Model Levels","Pa","","None","pfull","air_pressure","None","Pa","time: point","","","","","","longitude latitude plev27 time1","real","pfull","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Geopotential Height","m","","None","zg","geopotential_height","None","m","time: point","","","","","","longitude latitude plev27 time1","real","zg","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Specific Humidity","1.0","","None","hus","specific_humidity","None","1.0","time: point","","","","","","longitude latitude plev27 time1","real","hus","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","cloud_ice_mixing_ratio","1","","None","cldicemxrat","cloud_ice_mixing_ratio","None","1","time: point","","","","","","longitude latitude plev27 time1","real","cldicemxrat","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","cloud_water_mixing_ratio","1","","None","cldwatmxrat","cloud_liquid_water_mixing_ratio","None","1","time: point","","","","","","longitude latitude plev27 time1","real","cldwatmxrat","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","rain_mixing_ratio","1","","None","rainmxrat","mass_fraction_of_rain_in_air","None","1","time: point","","","","","","longitude latitude plev27 time1","real","rainmxrat","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","snow_mixing_ratio","1","","None","snowmxrat","mass_fraction_of_snow_in_air","None","1","time: point","","","","","","longitude latitude plev27 time1","real","snowmxrat","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","graupel_mixing_ratio","1","","None","grplmxrat","mass_fraction_of_graupel_in_air","None","1","time: point","","","","","","longitude latitude plev27 time1","real","grplmxrat","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Near-Surface Specific Humidity","1.0","","None","huss","specific_humidity","None","1.0","time: point","","","","","","longitude latitude time1","real","huss","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","","K","","None","tas","air_temperature","None","K","time: point","","","","","","longitude latitude time1","real","tas","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Near-Surface Wind Speed","m s-1","","None","sfcWind","wind_speed","None","m s-1","time: point","","","","","","longitude latitude time1","real","sfcWind","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Surface Temperature","K","","None","ts","surface_temperature","None","K","time: point","","","","","","longitude latitude time1","real","ts","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Sea Level Pressure","Pa","","None","psl","air_pressure_at_sea_level","None","Pa","time: point","","","","","","longitude latitude time1","real","psl","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Moisture in Upper Portion of Soil Column","kg m-2","","None","mrsos","moisture_content_of_soil_layer","None","kg m-2","time: point","","","","","","longitude latitude time1","real","mrsos","land","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Temperature of Soil","K","","None","tsl","soil_temperature","None","K","time: point","","","","","","longitude latitude time1","real","tsl","land","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Water Content of Soil Layer","kg m-2","","None","mrlsl","moisture_content_of_soil_layer","None","kg m-2","time: point","","","","","","longitude latitude time1","real","mrlsl","land","6hr","area: areacella","None","None","",""
