"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"2","Virtual Salt Flux into Sea Water","kg m-2 s-1","It is set to zero in models which receive a real water flux.","It is set to zero in models which receive a real water flux.","vsf","virtual_salt_flux_into_sea_water","time: mean area: mean where sea",,"real","longitude latitude time","vsf","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","83","f45dc6b68a774051705e099da83e79cf","AerChemMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa65a76-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_vsf",
"1","Downward Sea Ice Basal Salt Flux","kg m-2 s-1","This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.","This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.","sfdsi","downward_sea_ice_basal_salt_flux","time: mean area: mean where sea",,"real","longitude latitude time","sfdsi","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","85","8d0958ad5a4eabc97fc1896e847b00fe","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,PMIP,ScenarioMIP,VolMIP","baa662fa-e5dd-11e5-8482-ac72891c3257","False",-1,"False","x","x","False","lo-la-ti_a:m-sea_sfdsi",
"1","Salt Flux into Sea Water from Rivers","kg m-2 s-1","This field is physical, and it arises when rivers carry a nonzero salt content.  Often this is zero, with rivers assumed to be fresh.","This field is physical, and it arises when rivers carry a nonzero salt content.  Often this is zero, with rivers assumed to be fresh.","sfriver","salt_flux_into_sea_water_from_rivers","time: mean area: mean where sea",,"real","longitude latitude time","sfriver","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","86","ced45b8b1f2797c54425755202dce533","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa66746-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_sfriver",
"2","Upward Geothermal Heat Flux at Sea Floor","W m-2",,,"hfgeou","upward_geothermal_heat_flux_at_sea_floor","time: mean area: mean where sea","up","real","longitude latitude time","hfgeou","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","89","1418ccb847c5c235176620baf22d7b33","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa67344-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_hfgeou",
"2","Temperature Flux due to Rainfall Expressed as Heat Flux into Sea Water","W m-2","This is defined as ""where ice_free_sea over sea""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.","This is defined as ""where ice_free_sea over sea""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.","hfrainds","temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water","time: mean area: mean where ice_free_sea over sea","down","real","longitude latitude time","hfrainds","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","90","af7707ac309cab4b2f2ce461f89ab741","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa67768-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","NEMO: TBD","lo-la-ti_a:m-ice-free_hfrainds",
"2","Temperature Flux due to Evaporation Expressed as Heat Flux Out of Sea Water","W m-2","This is defined as ""where ice_free_sea over sea""","This is defined as ""where ice_free_sea over sea""","hfevapds","temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water","time: mean area: mean where ice_free_sea over sea","up","real","longitude latitude time","hfevapds","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","91","11f31866ee4fca2f68e25ccd529ede8a","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa67b8c-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-ice-free_hfevapds",
"2","Temperature Flux due to Runoff Expressed as Heat Flux into Sea Water","W m-2",,,"hfrunoffds","temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water","time: mean area: mean where sea",,"real","longitude latitude olevel time","hfrunoffds","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","92","155ede0bff2578a736e6379552483f4e","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa68000-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ol-ti_a:m-sea_hfrunoffds",
"2","Temperature Flux due to Runoff Expressed as Heat Flux into Sea Water","W m-2",,,"hfrunoffds","temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water","time: mean area: mean where sea",,"real","longitude latitude time","hfrunoffds2d","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","92","155ede0bff2578a736e6379552483f4e","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa6842e-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_hfrunoffds2d",
"2","Heat Flux into Sea Water due to Snow Thermodynamics","W m-2",,,"hfsnthermds","heat_flux_into_sea_water_due_to_snow_thermodynamics","time: mean area: mean where sea",,"real","longitude latitude olevel time","hfsnthermds","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","94","22fae57fa6f2e7e2744a3a9fe3c0dbca","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa68852-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ol-ti_a:m-sea_hfsnthermds",
"2","Heat Flux into Sea Water due to Snow Thermodynamics","W m-2",,,"hfsnthermds","heat_flux_into_sea_water_due_to_snow_thermodynamics","time: mean area: mean where sea",,"real","longitude latitude time","hfsnthermds2d","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","94","22fae57fa6f2e7e2744a3a9fe3c0dbca","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa68c80-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_hfsnthermds2d",
"1","Heat Flux into Sea Water due to Frazil Ice Formation","W m-2",,,"hfsifrazil","heat_flux_into_sea_water_due_to_freezing_of_frazil_ice","time: mean area: mean where sea",,"real","longitude latitude olevel time","hfsifrazil","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","96","1b7e762395c4de9ec5c5c7bda3ce3781","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa690b8-e5dd-11e5-8482-ac72891c3257","False",-1,"False","False","False","False","lo-la-ol-ti_a:m-sea_hfsifrazil",
"1","Heat Flux into Sea Water due to Frazil Ice Formation","W m-2",,,"hfsifrazil","heat_flux_into_sea_water_due_to_freezing_of_frazil_ice","time: mean area: mean where sea",,"real","longitude latitude time","hfsifrazil2d","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","96","1b7e762395c4de9ec5c5c7bda3ce3781","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa69504-e5dd-11e5-8482-ac72891c3257","False",2,"False","False","False","False","lo-la-ti_a:m-sea_hfsifrazil2d",
"1","Heat Flux into Sea Water due to Sea Ice Thermodynamics","W m-2",,,"hfsithermds","heat_flux_into_sea_water_due_to_sea_ice_thermodynamics","time: mean area: mean where sea",,"real","longitude latitude olevel time","hfsithermds","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","98","3c3c5dd123549a30b16629372383b8ba","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa69932-e5dd-11e5-8482-ac72891c3257","False",2,"False","x","x","False","lo-la-ol-ti_a:m-sea_hfsithermds",
