"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"1","Amon","1","Surface Downwelling Longwave Radiation","W m-2","","None","rlds","surface_downwelling_longwave_flux_in_air","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rlds","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Upwelling Longwave Radiation","W m-2","","None","rlus","surface_upwelling_longwave_flux_in_air","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rlus","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Downwelling Shortwave Radiation","W m-2","","None","rsds","surface_downwelling_shortwave_flux_in_air","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rsds","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Upwelling Shortwave Radiation","W m-2","","None","rsus","surface_upwelling_shortwave_flux_in_air","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rsus","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","","None","rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rsdscs","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Surface Upwelling Clear-Sky Shortwave Radiation","W m-2","","None","rsuscs","surface_upwelling_shortwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rsuscs","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Surface Downwelling Clear-Sky Longwave Radiation","W m-2","","None","rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rldscs","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere","None","rsdt","toa_incoming_shortwave_flux","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rsdt","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","TOA Outgoing Shortwave Radiation","W m-2","at the top of the atmosphere","None","rsut","toa_outgoing_shortwave_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rsut","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","TOA Outgoing Longwave Radiation","W m-2","at the top of the atmosphere (to be compared with satellite measurements)","None","rlut","toa_outgoing_longwave_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rlut","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","TOA Outgoing Clear-Sky Longwave Radiation","W m-2","","None","rlutcs","toa_outgoing_longwave_flux_assuming_clear_sky","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rlutcs","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","TOA Outgoing Clear-Sky Shortwave Radiation","W m-2","","None","rsutcs","toa_outgoing_shortwave_flux_assuming_clear_sky","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rsutcs","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Water Vapor Path","kg m-2","vertically integrated through the atmospheric column","None","prw","atmosphere_water_vapor_content","None","kg m-2","time: mean","","","","","","longitude latitude time","real","prw","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Total Cloud Fraction","%","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.","None","clt","cloud_area_fraction","None","%","time: mean","","","","","","longitude latitude time","real","clt","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Condensed Water Path","kg m-2","mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.","None","clwvi","atmosphere_cloud_condensed_water_content","None","kg m-2","time: mean","","","","","","longitude latitude time","real","clwvi","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Ice Water Path","kg m-2","mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.","None","clivi","atmosphere_cloud_ice_content","None","kg m-2","time: mean","","","","","","longitude latitude time","real","clivi","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Net Downward Flux at Top of Model","W m-2","i.e., at the top of that portion of the atmosphere where dynamics are explicitly treated by the model. This is reported only if it differs from the net downward radiative flux at the top of the atmosphere.","None","rtmt","net_downward_radiative_flux_at_top_of_atmosphere_model","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rtmt","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Air Pressure at Convective Cloud Base","Pa","","None","ccb","air_pressure_at_convective_cloud_base","None","Pa","time: mean","","","","","","longitude latitude time","real","ccb","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Air Pressure at Convective Cloud Top","Pa","","None","cct","air_pressure_at_convective_cloud_top","None","Pa","time: mean","","","","","","longitude latitude time","real","cct","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Fraction of Time Convection Occurs","1","Fraction of time that convection occurs in the grid cell .","None","ci","convection_time_fraction","None","1","time: mean","","","","","","longitude latitude time","real","ci","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Fraction of Time Shallow Convection Occurs","1","Fraction of time that shallow convection occurs in the grid cell.","None","sci","shallow_convection_time_fraction","None","1","time: mean","","","","","","longitude latitude time","real","sci","atmos","mon","area: areacella","None","None","",""
"0","Amon","1","Cloud Area Fraction","%","Includes both large-scale and convective cloud.","None","cl","cloud_area_fraction_in_atmosphere_layer","None","%","time: mean","","","","","","longitude latitude alevel time","real","cl","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Mass Fraction of Cloud Liquid Water","1","Includes both large-scale and convective cloud.  Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","None","clw","mass_fraction_of_cloud_liquid_water_in_air","None","1","time: mean","","","","","","longitude latitude alevel time","real","clw","atmos","mon","area: areacella","None","None","",""
